contractor_id,contractor_name,specialization,district,rating,tier,years_in_business,gst_number,mobile_number,email,active_contracts,completion_rate_percent,status,area_sq_ft,predicted_contract_amount_inr
VEN0001,Metro Cleaning Engineers,Plumbing,Rajkot,3.9,Bronze,23,24TOPAC2657W1ZR,9442871422,metrocleaningengineers@gmail.com,91,83,Active,2819,68600
VEN0002,Om HVAC Solutions,Security,Bharuch,4.1,Bronze,3,24SNZJO8685W1ZC,9022021263,omhvacsolutions@gmail.com,99,91,Active,2324,26560
VEN0003,Eco Painting Solutions,Plumbing,Anand,4.5,Silver,7,24MHYRF3708Z1ZK,9409572486,ecopaintingsolutions@gmail.com,41,88,Active,302,7080
VEN0004,Prime Furniture Associates,Water Tank Cleaning,Patan,4.4,Silver,20,24KFZNC0167N1ZT,9039598076,primefurnitureassociates@gmail.com,142,88,Active,3053,23750
VEN0005,Reliable Electrical Engineers,Pest Control,Ahmedabad,4.2,Silver,25,24WGNEX8266E1ZL,9757503098,reliableelectricalengineers@gmail.com,83,87,Active,2306,14160
VEN0006,Sai Furniture Maintenance,Electrical,Morbi,4.9,Gold,4,24ZNDRY1569R1ZY,9723964512,saifurnituremaintenance@gmail.com,91,80,Active,1214,34590
VEN0007,Sunrise Furniture Maintenance,Electrical,Surat,3.9,Bronze,9,24BAINH4578S1ZP,9244063480,sunrisefurnituremaintenance@gmail.com,30,81,Active,871,25340
VEN0008,Green Security Solutions,Furniture,Valsad,3.9,Bronze,6,24KHGYL8509A1ZC,9981424039,greensecuritysolutions@gmail.com,72,94,Active,1608,53960
VEN0009,Gujarat HVAC Associates,Pest Control,Jamnagar,4.5,Silver,8,24HZPOT0558F1ZB,9901562182,gujarathvacassociates@gmail.com,15,99,Active,1139,6780
VEN0010,Om HVAC Maintenance,Security,Bharuch,4.4,Silver,8,24RIGDQ4990T1ZS,9902298831,omhvacmaintenance@gmail.com,144,89,Active,9435,107900
VEN0011,Secure Cleaning Associates,Electrical,Jamnagar,4.0,Bronze,10,24DCOHP7262P1ZI,9980420762,securecleaningassociates@gmail.com,118,97,Active,656,17850
VEN0012,Skyline Landscaping Services,Plumbing,Surat,3.8,Bronze,13,24PDDIX7882H1ZV,9178461989,skylinelandscapingservices@gmail.com,50,93,Active,2618,62870
VEN0013,Shree Plumbing Works,HVAC,Anand,4.7,Gold,10,24ESJBM1938H1ZH,9013892639,shreeplumbingworks@gmail.com,142,90,Active,4656,97580
